candidate_id,rank,score,reasoning
CAND_0006567,1,0.8900,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 1.0000) over 7.9 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0071974,2,0.8500,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.9150) backed by 7.8 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0002025,3,0.8300,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.8920) over 5.9 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0046525,4,0.8000,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.8150) backed by 6.1 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0033861,5,0.7400,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.7570) over 8.0 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0005538,6,0.7300,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.6970) over 5.9 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0093193,7,0.6800,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.6020) backed by 7.9 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0068351,8,0.6700,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.6020) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0093547,9,0.6200,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.5180) backed by 2.9 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0086022,10,0.6200,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.4810) over 5.3 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0008425,11,0.6200,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.4670) backed by 7.8 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0011687,12,0.6200,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.4590) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0018499,13,0.6200,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.4560) backed by 7.2 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0046064,14,0.6200,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.4530) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0005260,15,0.6100,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.5000) backed by 5.2 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0066407,16,0.5800,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.5080) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0092278,17,0.5800,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.5050) backed by 6.8 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0088025,18,0.5800,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.3790) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0094759,19,0.5700,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.4250) backed by 8.6 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0084476,20,0.5600,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.4540) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
CAND_0081366,21,0.5600,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.4530) over 12.6 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0022794,22,0.5600,"Demonstrates moderate alignment with the core job requirements (Cross-Encoder 0.4370) over 13.3 years of engineering experience. Noticeable gaps remain around core requirements, limiting upward mobility in the rank list."
CAND_0003676,23,0.5500,Shows a balanced technical baseline across key dimensions (Cross-Encoder 0.4700) backed by 13.8 years of engineering experience. Clear exposure limitations in core areas differentiate this profile from higher-tier candidates.
CAND_0066395,24,0.5500,Demonstrates solid engineering experience and moderate semantic similarity (Cross-Encoder 0.4320) with the required role. It shows fewer signals across mandatory requirements compared with higher-ranked candidates.
